# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
6

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,body,0,XYRCJGIIEM,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,25,17
# x,y,z,u,w
0.000000000000000000e+00, 3.084999999999999520e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 2.842405010235347973e+00, -1.200340030706046335e+00, 0.000000000000000000e+00, 2.500000000000000000e-01
0.000000000000000000e+00, 2.180996693960929989e+00, -2.180996693960929989e+00, 0.000000000000000000e+00, 5.000000000000000000e-01
0.000000000000000000e+00, 1.200340030706046335e+00, -2.842405010235347973e+00, 0.000000000000000000e+00, 7.500000000000000000e-01
0.000000000000000000e+00, 0.000000000000000000e+00, -3.084999999999999520e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
0.000000000000000000e+00, -1.200340030706046335e+00, -2.842405010235347973e+00, 0.000000000000000000e+00, 1.250000000000000000e+00
0.000000000000000000e+00, -2.180996693960929989e+00, -2.180996693960929989e+00, 0.000000000000000000e+00, 1.500000000000000000e+00
0.000000000000000000e+00, -2.842405010235347973e+00, -1.200340030706046335e+00, 0.000000000000000000e+00, 1.750000000000000000e+00
0.000000000000000000e+00, -3.084999999999999520e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.000000000000000000e+00
0.000000000000000000e+00, -2.842405010235347973e+00, 1.200340030706046335e+00, 0.000000000000000000e+00, 2.250000000000000000e+00
0.000000000000000000e+00, -2.180996693960929989e+00, 2.180996693960929989e+00, 0.000000000000000000e+00, 2.500000000000000000e+00
0.000000000000000000e+00, -1.200340030706046335e+00, 2.842405010235347973e+00, 0.000000000000000000e+00, 2.750000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 3.084999999999999520e+00, 0.000000000000000000e+00, 3.000000000000000000e+00
0.000000000000000000e+00, 1.200340030706046335e+00, 2.842405010235347973e+00, 0.000000000000000000e+00, 3.250000000000000000e+00
0.000000000000000000e+00, 2.180996693960929989e+00, 2.180996693960929989e+00, 0.000000000000000000e+00, 3.500000000000000000e+00
0.000000000000000000e+00, 2.842405010235347973e+00, 1.200340030706046335e+00, 0.000000000000000000e+00, 3.750000000000000000e+00
0.000000000000000000e+00, 3.084999999999999520e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.000000000000000000e+00
8.600583090379008144e-01, 3.084999999999999520e+00, 0.000000000000000000e+00, 7.142857142857142461e-02, 0.000000000000000000e+00
8.600583090379008144e-01, 2.842405010235347973e+00, -1.200340030706046779e+00, 7.142857142857142461e-02, 2.500000000000000000e-01
8.600583090379008144e-01, 2.180996693960929989e+00, -2.180996693960929989e+00, 7.142857142857142461e-02, 5.000000000000000000e-01
8.600583090379008144e-01, 1.200340030706046779e+00, -2.842405010235347973e+00, 7.142857142857142461e-02, 7.500000000000000000e-01
8.600583090379008144e-01, 0.000000000000000000e+00, -3.084999999999999520e+00, 7.142857142857142461e-02, 1.000000000000000000e+00
8.600583090379008144e-01, -1.200340030706046779e+00, -2.842405010235347973e+00, 7.142857142857142461e-02, 1.250000000000000000e+00
8.600583090379008144e-01, -2.180996693960929989e+00, -2.180996693960929989e+00, 7.142857142857142461e-02, 1.500000000000000000e+00
8.600583090379008144e-01, -2.842405010235347973e+00, -1.200340030706046779e+00, 7.142857142857142461e-02, 1.750000000000000000e+00
8.600583090379008144e-01, -3.084999999999999520e+00, 0.000000000000000000e+00, 7.142857142857142461e-02, 2.000000000000000000e+00
8.600583090379008144e-01, -2.842405010235347973e+00, 1.200340030706046779e+00, 7.142857142857142461e-02, 2.250000000000000000e+00
